model,model_map
0.5495340824127197,1154
0.5514504909515381,1155
0.5533668994903564,1156
0.5552833676338196,1157
0.5571997761726379,1158
0.5591161847114563,1159
0.5610325932502747,1160
0.5629490613937378,1161
0.5648654699325562,1162
0.5667818784713745,1163
0.5686983466148376,1164
0.570614755153656,1165
0.5725311636924744,1166
0.5744475722312927,1167
0.5763640403747559,1168
0.5782804489135742,1169
0.5801968574523926,1170
0.5821133255958557,1171
0.5840297341346741,1172
0.5859461426734924,1173
0.5878626108169556,1174
0.5897790193557739,1175
0.5916954278945923,1176
0.5936118364334106,1177
0.5955283045768738,1178
0.5974447131156921,1179
0.5993611216545105,1180
0.6012775897979736,1181
0.603193998336792,1182
0.6051104068756104,1183
0.6070268154144287,1184
0.6089432835578918,1185
0.6108596920967102,1186
0.6127761006355286,1187
0.6146925687789917,1188
